sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_058_DCM_0.22-3_G	TARA_B000000557	metaG	162594766	119673774.995126	0.736024768442582	27958060605	17393102578.7532	0.622114059501058	631.414925731725
TARA_058_DCM_lt-0.22_G	TARA_R100000278	metaG	44767593	37005413.9997295	0.826611651864542	7064123052	4822648146.73862	0.682695942757287	631.414925731725
TARA_062_SRF_0.22-3_G	TARA_B000000532	metaG	140355736	100941703.997552	0.719184743525919	25383818135	15479410125.1051	0.60981409663354	631.414925731725
TARA_062_SRF_lt-0.22_G	TARA_R100000329	metaG	54671509	45401344.0002552	0.830438830584596	8960386983	6087013355.96414	0.679324829107567	631.414925731725
TARA_064_DCM_0.1-0.22_G	TARA_Y100000401	metaG	60442610	39764204.9999829	0.65788365194658	10404579791	5658261664.82383	0.543824140761384	631.414925731725
TARA_064_DCM_0.22-3_G	TARA_B100000405	metaG	190670593	114159905.996713	0.598728436307496	32062298644	17128181702.1826	0.534215649737512	631.414925731725
TARA_064_DCM_lt-0.22_G	TARA_R100000315	metaG	39485573	31198783.9996117	0.790131220828723	6478596095	4099794480.25362	0.632821435406002	631.414925731725
TARA_064_MES_0.22-3_G	TARA_B100000408	metaG	114742362	64096407.0005596	0.558611535298181	19610885256	9228154533.93041	0.470562874315275	631.414925731725
TARA_064_MES_lt-0.22_G	TARA_R100000306	metaG	47066174	31713095.9998244	0.673798044426224	7647468164	4224050749.69675	0.55234630064643	631.414925731725
TARA_064_SRF_0.22-3_G	TARA_B100000401	metaG	300243156	217161276.012108	0.723284683338821	53582940683	32977513344.6408	0.615447993788505	631.414925731725
TARA_064_SRF_lt-0.22_G	TARA_R100000322	metaG	42805752	35298436.999699	0.824619013811485	6786497677	4629771144.1082	0.682203304923964	631.414925731725
TARA_065_DCM_0.1-0.22_G	TARA_Y100000361	metaG	88683636	61986682.0009693	0.698964147128218	15447773062	8995299242.61796	0.58230394805226	631.414925731725
TARA_065_DCM_0.22-3_G	TARA_B000000441	metaG	204580974	136572067.996834	0.667569741831584	35169441663	20471139418.3747	0.582071777383699	631.414925731725
TARA_065_DCM_lt-0.22_G	TARA_R100001198	metaG	51810825	41482155.9999039	0.800646505820047	8334556744	5498766884.42088	0.659755167949322	631.414925731725
TARA_065_MES_0.22-3_G	TARA_B000000460	metaG	208994296	114964722.998005	0.550085457825149	35558991829	16305759168.0469	0.458555159450522	631.414925731725
TARA_065_SRF_0.1-0.22_G	TARA_Y100000356	metaG	83496767	56320441.0008024	0.674522415949379	14135340167	8004156364.36283	0.566251414525497	631.414925731725
TARA_065_SRF_0.22-3_G	TARA_B000000437	metaG	135582877	98661437.9978868	0.727683614486856	22819792516	14420380154.4673	0.631924244900845	631.414925731725
TARA_065_SRF_lt-0.22_G	TARA_R100001230	metaG	54361395	43261068.0000119	0.795804964166426	8699932095	5733034973.10877	0.658974680549937	631.414925731725
TARA_066_DCM_0.22-3_G	TARA_B000000477	metaG	70236356	49123507.0002775	0.699402842030664	12525467969	7551978863.97872	0.602929877164633	631.414925731725
TARA_066_DCM_lt-0.22_G	TARA_R100000908	metaG	41512878	33229545.9997533	0.800463557350886	6523779223	4342504655.42528	0.665642491412877	631.414925731725
TARA_066_SRF_0.22-3_G	TARA_B000000475	metaG	150344786	107894630.997028	0.717647973485609	25300379336	15583406113.3486	0.615935670623518	631.414925731725
TARA_066_SRF_lt-0.22_G	TARA_R100000900	metaG	38518747	31151005.9997627	0.80872324324991	6039459192	4056400005.66478	0.671649542899134	631.414925731725
TARA_067_SRF_0.22-0.45_G	TARA_Y100000389	metaG	164059946	122716513.997038	0.747998015292762	26877946496	17070452196.9205	0.63510998503777	631.414925731725
TARA_067_SRF_0.22-3_G	TARA_B100000497	metaG	76813613	47966676.0001196	0.624455407404409	14235164008	7768765851.36976	0.545744737960434	631.414925731725
TARA_067_SRF_0.45-0.8_G	TARA_Y100000385	metaG	164339292	123447210.998501	0.751172829675458	27609143505	17981701793.9933	0.651295169324496	631.414925731725
TARA_067_SRF_lt-0.22_G	TARA_R100000951	metaG	39721578	30691988.9997787	0.772677988769194	6329322766	4050731979.91784	0.639994534909431	631.414925731725
TARA_068_DCM_0.22-0.45_G	TARA_Y100000748	metaG	160098031	131089590.996334	0.818808265020662	27756443200	19545734778.464	0.704187299418249	631.414925731725
TARA_068_DCM_0.22-3_G	TARA_B100000482	metaG	120422758	73289213.0002988	0.608599356280303	19500359293	10590542751.473	0.543094749811847	631.414925731725
TARA_068_DCM_0.45-0.8_G	TARA_Y100000746	metaG	134270491	100472449.998377	0.748283924860135	22140633970	14274217539.6553	0.64470681187343	631.414925731725
TARA_068_DCM_lt-0.22_G	TARA_R100000995	metaG	34506790	26289564.9998865	0.761866432661124	4932945843	3059510716.87915	0.620219806633532	631.414925731725
TARA_068_MES_0.22-3_G	TARA_B100000470	metaG	180066430	106599306.998552	0.591999891365382	31539717601	15645415284.2233	0.496054387111165	631.414925731725
TARA_068_MES_0.45-0.8_G	TARA_Y100000758	metaG	167983485	102178750.99857	0.608266645965646	27821770705	14106631324.7977	0.507035712225984	631.414925731725
TARA_068_MES_lt-0.22_G	TARA_R100000963	metaG	38740387	24689938.9999439	0.637317820287751	5610721842	2881515230.4838	0.513572996778014	631.414925731725
TARA_068_SRF_0.22-0.45_G	TARA_Y100000741	metaG	161420786	128503665.995889	0.79607880236619	28264939848	18832559521.9322	0.666286913158414	631.414925731725
TARA_068_SRF_0.22-3_G	TARA_B100000475	metaG	132104480	79846349.9997557	0.604418184756154	20885615245	11357700530.0874	0.543804929701865	631.414925731725
TARA_068_SRF_0.45-0.8_G	TARA_Y100000739	metaG	166725193	128240253.996761	0.769171423281912	27569252532	18307688500.1787	0.664061837691419	631.414925731725
TARA_068_SRF_lt-0.22_G	TARA_R100000988	metaG	38962923	31318141.9997361	0.803793442287071	5994817892	4000231578.56297	0.667281583966249	631.414925731725
TARA_070_MES_0.22-0.45_G	TARA_Y100000782	metaG	150021151	116212517.99831	0.774640890458904	25489859220	17030262733.2105	0.668119136564242	631.414925731725
TARA_070_MES_0.22-3_G	TARA_B100000446	metaG	181835902	123180907.998044	0.677428971084291	30711658338	17978618738.6387	0.585400454145894	631.414925731725
TARA_070_MES_0.45-0.8_G	TARA_Y100000780	metaG	182892776	128730695.99754	0.70385883364546	30549362586	18472223097.3594	0.604668036701518	631.414925731725
TARA_070_MES_lt-0.22_G	TARA_R100001039	metaG	35648403	28633438.9998917	0.803218001095075	5325793102	3658013860.82767	0.686848660991726	631.414925731725
TARA_070_SRF_0.22-0.45_G	TARA_Y100000768	metaG	181873359	145390254.998375	0.799403803821398	32040657099	21708552003.4899	0.677531423166955	631.414925731725
TARA_070_SRF_0.22-3_G	TARA_B100000459	metaG	119377115	45704891.0001659	0.382861413598125	18728681190	6459489945.78205	0.344898280890757	631.414925731725
TARA_070_SRF_0.45-0.8_G	TARA_Y100000766	metaG	167912459	127210878.996489	0.757602382539635	29324966569	18974959615.2224	0.647058184041757	631.414925731725
TARA_070_SRF_lt-0.22_G	TARA_R100001015	metaG	43396620	34086283.9996862	0.785459420565154	7216454500	4526342558.21994	0.627225261133419	631.414925731725
TARA_072_DCM_0.22-3_G	TARA_B100000427	metaG	156582866	101428059.99806	0.647759634173897	27326496444	15020487978.7346	0.54966753639699	631.414925731725
TARA_072_DCM_lt-0.22_G	TARA_R100001082	metaG	42748031	32708219.9997221	0.765139802572944	6578228417	4049024447.78177	0.615518980356162	631.414925731725
TARA_072_MES_0.22-3_G	TARA_B100000508	metaG	134534944	79178779.9997684	0.588536908297731	22852998101	11415079337.7664	0.499500296955211	631.414925731725
TARA_072_MES_lt-0.22_G	TARA_R100001086	metaG	86995018	59855072.0010667	0.688028732876021	13445221988	7329158749.70379	0.545112513296183	631.414925731725
TARA_072_SRF_0.22-3_G	TARA_B100000424	metaG	197062809	112932623.996211	0.573079337340669	33405020715	16106230212.9065	0.482149984288865	631.414925731725
TARA_072_SRF_lt-0.22_G	TARA_R100001079	metaG	36203264	29636703.9996876	0.818619669201308	5902383443	3906690549.24275	0.661883557205341	631.414925731725
TARA_076_DCM_0.22-0.45_G	TARA_Y100000817	metaG	157367649	121219147.99667	0.770292679384628	27495788110	17933071473.5872	0.652211582437425	631.414925731725
TARA_076_DCM_0.22-3_G	TARA_B100000519	metaG	198455366	82224021.9995855	0.414319973588346	32377316140	11991383655.5856	0.370363732550737	631.414925731725
TARA_076_DCM_0.45-0.8_G	TARA_Y100000814	metaG	149713546	101720053.998103	0.679431198551018	23226320633	13329618343.5382	0.573901417885338	631.414925731725
TARA_076_DCM_lt-0.22_G	TARA_R100001129	metaG	54139956	43530336.9999978	0.804033475756756	8835608569	5751088191.38973	0.650898933160936	631.414925731725
TARA_076_MES_0.22-3_G	TARA_B100000749	metaG	209095158	117270487.998085	0.56084745873496	35302778925	16738750247.0482	0.474148232993479	631.414925731725
TARA_076_MES_0.45-0.8_G	TARA_Y100000815	metaG	172577469	118614135.998136	0.687309511985811	26420646079	15642189433.6807	0.592044168295855	631.414925731725
TARA_076_MES_lt-0.22_G	TARA_R100001132	metaG	34346144	24998558.9999599	0.727841792078899	4789082332	2891111485.29906	0.603687989655354	631.414925731725
TARA_076_SRF_0.22-0.45_G	TARA_Y100000816	metaG	179216843	136742957.995939	0.763002827786332	30271311208	19379190950.5462	0.640183400626028	631.414925731725
TARA_076_SRF_0.22-3_G	TARA_B100000513	metaG	210728621	81888545.9994963	0.388597171143147	34382334103	11553697880.2002	0.336035879518489	631.414925731725
TARA_076_SRF_0.45-0.8_G	TARA_Y100000813	metaG	148095753	98808857.9979606	0.667195756774744	25502470596	13941302312.1598	0.546664773504198	631.414925731725
TARA_076_SRF_lt-0.22_G	TARA_R100001126	metaG	46138871	39087821.9997446	0.847177686678648	7421078161	5178097930.46102	0.697755476781458	631.414925731725
TARA_078_DCM_0.22-0.45_G	TARA_Y100000996	metaG	181990473	145261793.998175	0.798183507101356	30125930317	20460946290.7598	0.679180562241882	631.414925731725
TARA_078_DCM_0.22-3_G	TARA_B100000530	metaG	212359137	127106527.996352	0.598545133456407	35425470659	18355621453.2985	0.518147567607128	631.414925731725
TARA_078_DCM_0.45-0.8_G	TARA_Y100000994	metaG	147268626	104891673.998037	0.712247250803015	25648159401	15245204408.3495	0.594397600622955	631.414925731725
TARA_078_DCM_lt-0.22_G	TARA_R100001163	metaG	47200841	37113739.9997598	0.786294040815073	7652599225	4896264950.90451	0.639817244696296	631.414925731725
TARA_078_MES_0.22-3_G	TARA_B100000745	metaG	217833141	121240938.997128	0.556577105028881	35153765045	16501056149.2759	0.469396553346507	631.414925731725
TARA_078_MES_0.45-0.8_G	TARA_Y100001001	metaG	142001353	104460615.998591	0.735631131617394	22358060560	14329843722.1614	0.640925168071081	631.414925731725
TARA_078_MES_lt-0.22_G	TARA_R100001143	metaG	41170668	31391676.9998736	0.762476746791516	6281866540	4017953195.49277	0.63961135912524	631.414925731725
TARA_078_SRF_0.22-0.45_G	TARA_Y100000992	metaG	152555721	117192917.996243	0.768197464035078	26933797038	17183881542.537	0.63800441943974	631.414925731725
TARA_078_SRF_0.22-3_G	TARA_B100000524	metaG	214874294	125586207.995109	0.584463621298082	34925507767	17306509080.3513	0.495526341257768	631.414925731725
TARA_078_SRF_0.45-0.8_G	TARA_Y100000991	metaG	135698139	94214745.9984752	0.694296522360378	23535305068	13283917323.9693	0.56442511731156	631.414925731725
TARA_078_SRF_lt-0.22_G	TARA_R100001224	metaG	34638269	28409987.9997946	0.820190754907372	5432753948	3659152590.68189	0.673535489680875	631.414925731725
TARA_082_DCM_0.22-3_G	TARA_B100000767	metaG	205372208	145344056.999045	0.707710446386423	34482482924	21020612457.3255	0.609602635159866	631.414925731725
TARA_082_DCM_lt-0.22_G	TARA_R100000544	metaG	35008945	28460703.9998431	0.812955203301416	5149902104	3483163252.74059	0.676355235963645	631.414925731725
TARA_082_SRF_0.22-3_G	TARA_B100000768	metaG	127484801	80892009.999855	0.634522777345474	21810179451	11902585209.7516	0.545735317606745	631.414925731725
TARA_082_SRF_lt-0.22_G	TARA_R100000541	metaG	40689853	36574786.9997589	0.898867513720407	6468788474	4949699579.01105	0.765166398453958	631.414925731725
TARA_084_SRF_0.22-3_G	TARA_B100000780	metaG	205040545	114868297.998629	0.5602223599173	34478168591	16557692700.0286	0.480237013063121	631.414925731725
TARA_084_SRF_lt-0.22_G	TARA_R100000935	metaG	52243984	43609679.000036	0.834731114687502	8786925632	6267937536.6718	0.713325433624405	631.414925731725
TARA_085_DCM_0.22-3_G	TARA_B100000795	metaG	196679310	118094920.997865	0.60044404771333	32043181718	16458424607.4451	0.513632658338661	631.414925731725
TARA_085_DCM_lt-0.22_G	TARA_R100001377	metaG	36949263	26118372.9999233	0.706871284548308	5202094899	2983673466.72373	0.573552294729817	631.414925731725
TARA_085_MES_0.22-3_G	TARA_B100000809	metaG	190161564	102195150.998772	0.537412234360737	31700368643	14446845698.9956	0.45573115763074	631.414925731725
TARA_085_MES_lt-0.22_G	TARA_R100001244	metaG	41151096	23377356.9999829	0.568085890105646	6233620265	2689470952.67942	0.431446067990384	631.414925731725
TARA_085_SRF_0.22-3_G	TARA_B100000787	metaG	186705830	121593120.998148	0.651255083990405	31492540512	17400121131.5203	0.552515638580827	631.414925731725
TARA_085_SRF_lt-0.22_G	TARA_R100001369	metaG	51173937	41283588.999946	0.80673075827537	8009182576	5296564959.2365	0.661311551956373	631.414925731725
TARA_093_DCM_0.22-3_G	TARA_B100001059	metaG	160823005	124636978.997366	0.77499471544737	26883150722	17894671150.8434	0.665646349860291	631.414925731725
TARA_093_SRF_0.22-3_G	TARA_B100001063	metaG	132891860	101901480.998673	0.766800020698581	23963436487	15407555891.9997	0.642961033587908	631.414925731725
TARA_094_SRF_0.22-3_G	TARA_B100001057	metaG	217691455	177955009.003146	0.817464374075434	38904318380	26812579890.2631	0.689192897003613	631.414925731725
TARA_096_SRF_0.22-3_G	TARA_B100000989	metaG	176777303	120746858.996891	0.683045034332779	30627483878	17405165158.7387	0.568285832034704	631.414925731725
TARA_098_DCM_0.22-3_G	TARA_B100001029	metaG	120864147	71678825.0003644	0.59305283476964	21036492379	10683783914.1962	0.507869074449954	631.414925731725
TARA_098_MES_0.22-3_G	TARA_B100001013	metaG	208258919	110847855.99793	0.532259826038617	34617296134	15451771591.5006	0.446359863915667	631.414925731725
TARA_098_SRF_0.22-3_G	TARA_B100001027	metaG	120963057	73930633.0002121	0.611183569874661	21118896519	10477232797.5213	0.496107019043126	631.414925731725
TARA_099_SRF_0.22-3_G	TARA_B100000886	metaG	162302654	105434656.997349	0.649617578017847	27914771163	14679386403.4971	0.525864472174291	631.414925731725
TARA_100_DCM_0.22-3_G	TARA_B100000965	metaG	164362434	119145367.997257	0.724894156758821	29288374335	18078001165.7325	0.61724153614525	631.414925731725
TARA_100_DCM_lt-0.22_G	TARA_R100001443	metaG	45684412	39171753.9997973	0.857442446666432	7644911530	5397567431.69631	0.706033995359566	631.414925731725
TARA_100_MES_0.22-3_G	TARA_B100000959	metaG	179168438	130649418.998199	0.729198850291917	31868354467	19981119534.2995	0.626989371383771	631.414925731725
TARA_100_MES_lt-0.22_G	TARA_R100001530	metaG	37908934	23536530.9999601	0.620870294056807	6153795940	2944053949.86356	0.478412670580617	631.414925731725
TARA_100_SRF_0.22-3_G	TARA_B100000963	metaG	182396927	141583775.997841	0.776239919863569	32932004878	21639410485.4617	0.657093625657687	631.414925731725
TARA_100_SRF_lt-0.22_G	TARA_R100001440	metaG	41715855	37302104.9997441	0.894194905024579	6755245111	5027614652.4836	0.744253475613611	631.414925731725
TARA_102_DCM_0.22-3_G	TARA_B100000902	metaG	200217355	141171856.997147	0.705093007532473	39078682247	23041753339.254	0.589624624331411	631.414925731725
TARA_102_DCM_lt-0.22_G	TARA_R100001463	metaG	37935566	30336472.9996353	0.799684206626449	6321410975	4064892784.61328	0.643035676795761	631.414925731725
