Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation	Functional category
OM-RGC.v2.018748829	11IPJ	0.914519453	OG		Function unknown
OM-RGC.v2.008957098	11M45	0.914409582	OG		Function unknown
OM-RGC.v2.010099930	12607	0.914303563	OG	peptidase C60 sortase A and B	Function unknown
OM-RGC.v2.000123888	0ZV5A	0.914286511	OG	YGGT family	Function unknown
OM-RGC.v2.040864640	11K12	0.913943488	OG		Function unknown
OM-RGC.v2.024900494	1236H	0.91385612	OG		Function unknown
OM-RGC.v2.016964767	0YEU4	0.913722854	OG		Function unknown
OM-RGC.v2.006480951	0Y5HF	0.913678567	OG	TPR	Function unknown
OM-RGC.v2.030697898	0ZCDN	0.913646767	OG		Function unknown
OM-RGC.v2.007347329	11HDG	0.913271348	OG	Alpha beta hydrolase fold protein	Function unknown
OM-RGC.v2.000138554	0YB6G	0.913198721	OG		Function unknown
OM-RGC.v2.027980951	11K12	0.912908791	OG		Function unknown
OM-RGC.v2.001424978	10YSZ	0.912831125	OG		Function unknown
OM-RGC.v2.006788007	12C6J	0.912325305	OG	YCII-related domain	Function unknown
OM-RGC.v2.031775766	0YEU4	0.912242326	OG		Function unknown
OM-RGC.v2.025087250	0ZX3K	0.911913312	OG		Function unknown
OM-RGC.v2.012032794	0YHF6	0.911567797	OG	whole genome shotgun sequence	Function unknown
OM-RGC.v2.004512658	0ZUWR	0.911507957	OG		Function unknown
OM-RGC.v2.001112462	0XUFP	0.911386325	OG	Peptidase family M28	Function unknown
OM-RGC.v2.005165368	11M9A	0.911094901	OG	"beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.144)"	Function unknown
OM-RGC.v2.020916958	0ZPWT	0.910976056	OG	LRR	Function unknown
OM-RGC.v2.008923836	0Z1WJ	0.910765337	OG		Function unknown
OM-RGC.v2.003165174	0YA67	0.910716737	OG		Function unknown
OM-RGC.v2.011841079	11X9N	0.910372187	OG		Function unknown
OM-RGC.v2.000683257	11M50	0.910296359	OG		Function unknown
OM-RGC.v2.028297518	0XYHB	0.910254994	OG		Function unknown
OM-RGC.v2.006381917	0Y9QN	0.910113104	OG		Function unknown
OM-RGC.v2.000076644	0ZXT7	0.910050744	OG	Domain of unknown function (DUF1887)	Function unknown
OM-RGC.v2.006236390	0ZSGS	0.909881268	OG		Function unknown
OM-RGC.v2.031900419	0Y1QB	0.909866895	OG		Function unknown
OM-RGC.v2.002283846	0ZK33	0.909799446	OG		Function unknown
OM-RGC.v2.028005047	11ZFF	0.909326498	OG		Function unknown
OM-RGC.v2.008884824	11SI8	0.909267048	OG		Function unknown
OM-RGC.v2.004418110	10IGT	0.909215638	OG		Function unknown
OM-RGC.v2.033701971	11131	0.909130586	OG		Function unknown
OM-RGC.v2.008950216	0Z3ES	0.909122453	OG		Function unknown
OM-RGC.v2.000571966	0Z5FY	0.909042678	OG	type ii secretion system	Function unknown
OM-RGC.v2.003578770	0ZF2P	0.908934995	OG		Function unknown
OM-RGC.v2.034973764	12BAT	0.908845123	OG		Function unknown
OM-RGC.v2.037354993	110EE	0.908733596	OG		Function unknown
OM-RGC.v2.039500646	1109Z	0.908545605	OG		Function unknown
OM-RGC.v2.020037418	0ZVB2	0.90843949	OG	Predicted membrane protein (DUF2142)	Function unknown
OM-RGC.v2.030891137	0YEU4	0.908427182	OG		Function unknown
OM-RGC.v2.001282104	11X9N	0.908262843	OG		Function unknown
OM-RGC.v2.012489905	126ZZ	0.908062793	OG	Protein of unknown function (DUF1470)	Function unknown
OM-RGC.v2.033604775	0ZZ9T	0.907897577	OG	acetyltransferase	Function unknown
OM-RGC.v2.043754416	0ZIIQ	0.907759218	OG	Lactamase_B	Function unknown
OM-RGC.v2.039946868	126Y0	0.907504974	OG	Protein of unknown function (DUF402)	Function unknown
OM-RGC.v2.002145782	0ZIN9	0.907286533	OG		Function unknown
OM-RGC.v2.013464989	0ZQFN	0.907258986	OG	Uncharacterised protein family (UPF0104)	Function unknown
OM-RGC.v2.035905700	12CIW	0.907071632	OG	Membrane bound regulatory protein	Function unknown
OM-RGC.v2.001814837	0Z6HD	0.907069071	OG		Function unknown
OM-RGC.v2.004596830	11EVQ	0.907043627	OG	Rhodanese-like domain	Function unknown
OM-RGC.v2.021588520	COG4083	0.906818888	OG	Exosortase/Archaeosortase	Function unknown
OM-RGC.v2.015406675	101KR	0.906730152	OG		Function unknown
OM-RGC.v2.038559999	11NHY	0.906476021	OG		Function unknown
OM-RGC.v2.034130932	101KR	0.906439708	OG		Function unknown
OM-RGC.v2.003866778	0Y5HF	0.905887251	OG	TPR	Function unknown
OM-RGC.v2.037132133	0YW6E	0.905700813	OG		Function unknown
OM-RGC.v2.030862844	1283E	0.905549746	OG		Function unknown
OM-RGC.v2.000577477	0ZMKY	0.905474902	OG	Reverse transcriptase (RNA-dependent DNA polymerase)	Function unknown
OM-RGC.v2.001543275	11SDB	0.905460221	OG		Function unknown
OM-RGC.v2.007933402	0YZXU	0.905221079	OG	Pfam:DUF2081	Function unknown
OM-RGC.v2.014940906	10DKM	0.905116765	OG		Function unknown
OM-RGC.v2.007735571	0YW6E	0.90501166	OG		Function unknown
OM-RGC.v2.000747300	0YHTI	0.904920088	OG		Function unknown
OM-RGC.v2.034625111	10B6A	0.904864795	OG		Function unknown
OM-RGC.v2.000337142	10IGT	0.904607657	OG		Function unknown
OM-RGC.v2.038342299	0ZPY0	0.904583503	OG		Function unknown
OM-RGC.v2.037230065	11XXA	0.904318274	OG		Function unknown
OM-RGC.v2.002645901	0ZC65	0.904262331	OG		Function unknown
OM-RGC.v2.005122673	0Y37R	0.904134237	OG		Function unknown
OM-RGC.v2.028982616	128ZX	0.904014252	OG	Pentapeptide repeat-containing protein	Function unknown
OM-RGC.v2.038839904	10ZK2	0.903928542	OG		Function unknown
OM-RGC.v2.000266162	0YFRD	0.903384355	OG	WD40-like Beta Propeller Repeat	Function unknown
OM-RGC.v2.021073193	0Y2M8	0.903365214	OG		Function unknown
OM-RGC.v2.001168053	108BQ	0.903116884	OG		Function unknown
OM-RGC.v2.036218415	0XXQ3	0.903008364	OG		Function unknown
OM-RGC.v2.031435196	11T9U	0.902919247	OG		Function unknown
OM-RGC.v2.008682232	0YMQ0	0.902905618	OG	Retrotransposon protein	Function unknown
OM-RGC.v2.017817469	0Y9QN	0.902897519	OG		Function unknown
OM-RGC.v2.041787434	1110C	0.902887723	OG		Function unknown
OM-RGC.v2.001067214	0Z27T	0.902706801	OG		Function unknown
OM-RGC.v2.029126343	0YGE2	0.902409289	OG		Function unknown
OM-RGC.v2.018394420	110EC	0.902282718	OG		Function unknown
OM-RGC.v2.039942036	0YED1	0.902255153	OG	Phage terminase-like protein protein large subunit-like protein	Function unknown
OM-RGC.v2.002891291	0YATM	0.902087084	OG		Function unknown
OM-RGC.v2.022003031	0ZQUN	0.901967934	OG	fimbrial assembly	Function unknown
OM-RGC.v2.000893893	0XYCW	0.901842422	OG		Function unknown
OM-RGC.v2.004370104	120QD	0.90182507	OG	acyltransferase	Function unknown
OM-RGC.v2.000053017	0YB9I	0.901734769	OG	Tetratricopeptide repeat	Function unknown
OM-RGC.v2.004122568	0YCGR	0.901630437	OG	Domain-Containing protein	Function unknown
OM-RGC.v2.021985561	110B4	0.901323708	OG		Function unknown
OM-RGC.v2.027683464	11X9N	0.901270898	OG		Function unknown
OM-RGC.v2.003719996	0YB4E	0.901203434	OG	NurA domain	Function unknown
OM-RGC.v2.033403836	0ZMJ0	0.901135401	OG		Function unknown
OM-RGC.v2.024514580	0ZMJ0	0.900816613	OG		Function unknown
OM-RGC.v2.000335157	0ZM9M	0.900807055	OG		Function unknown
OM-RGC.v2.012724671	0ZCHZ	0.900729009	OG		Function unknown
OM-RGC.v2.038303775	0Y684	0.900531372	OG	Gcn5-related n-acetyltransferase	Function unknown
OM-RGC.v2.035098391	11P7C	0.900085436	OG		Function unknown
OM-RGC.v2.005377013	11EX4	0.900069222	OG	Tetratricopeptide repeat	Function unknown
OM-RGC.v2.003045111	0Y3PR	0.900036759	OG		Function unknown
OM-RGC.v2.017575003	110B4	0.899823241	OG		Function unknown
OM-RGC.v2.037544847	11XXA	0.899796806	OG		Function unknown
OM-RGC.v2.000253487	10Z98	0.899500545	OG	Protein of unknown function (DUF2029)	Function unknown
OM-RGC.v2.001186282	0ZAN2	0.899479957	OG		Function unknown
OM-RGC.v2.006842241	0ZEP8	0.899147366	OG		Function unknown
OM-RGC.v2.001174771	COG1831	0.898954917	OG	"Predicted metal-dependent hydrolase, urease superfamily"	Function unknown
OM-RGC.v2.044540628	0YDMN	0.898927255	OG		Function unknown
OM-RGC.v2.001039731	0YCGR	0.898825879	OG	Domain-Containing protein	Function unknown
OM-RGC.v2.019542828	12607	0.898716739	OG	peptidase C60 sortase A and B	Function unknown
OM-RGC.v2.001062894	11J3W	0.898674908	OG	Type 11 methyltransferase	Function unknown
OM-RGC.v2.017056569	10ZJV	0.898656632	OG		Function unknown
OM-RGC.v2.028319491	110P6	0.898550304	OG	Protein of unknown function (DUF2029)	Function unknown
OM-RGC.v2.027697223	123BE	0.898348748	OG		Function unknown
OM-RGC.v2.041094594	0Y13W	0.89814134	OG	"PG1 protein, homology to Homo sapiens"	Function unknown
OM-RGC.v2.002273682	0ZV57	0.898139319	OG		Function unknown
OM-RGC.v2.000166844	0ZY26	0.898021648	OG		Function unknown
OM-RGC.v2.006380125	0ZU35	0.89798013	OG		Function unknown
OM-RGC.v2.015142420	0YEU4	0.897939859	OG		Function unknown
OM-RGC.v2.002204400	11MWP	0.897806557	OG	PlsC	Function unknown
OM-RGC.v2.006672790	0YCVZ	0.89774295	OG		Function unknown
OM-RGC.v2.019295990	12BCE	0.897523782	OG		Function unknown
OM-RGC.v2.017090815	11NW0	0.897520871	OG	GCN5-related N-acetyltransferase	Function unknown
OM-RGC.v2.007895130	0ZY2B	0.897389389	OG	Protein of unknown function (DUF3179)	Function unknown
OM-RGC.v2.003954021	0Y9QN	0.897290784	OG		Function unknown
OM-RGC.v2.034899339	110BB	0.897208059	OG		Function unknown
