B100000194	BEZ_AFDAOSW_8_C8JE3ACXX.IND7
B100000473	BEZ_AFVAOSW_3_C8NACACXX.IND12
B100000480	BEZ_AFXAOSW_4_C8NACACXX.IND4
B100000526	BEZ_AGIAOSW_5_C8NACACXX.IND7
B100000713	BEZ_AGLAOSW_6_C8NACACXX.IND8
B100000851	BEZ_AGVAOSW_7_C8NACACXX.IND10
B100000858	BEZ_AGXAOSW_8_C8NACACXX.IND1
B100001228	BEZ_AIGAOSW_1_C8JE3ACXX.IND2
B100000603	BEZ_AIIAOSW_2_C8JE3ACXX.IND9
B100000611	BEZ_AIKAOSW_3_C8JE3ACXX.IND3
B100001977	BEZ_AKEAOSW_2_C8HNDACXX.IND6
B100001776	BEZ_ALBAOSW_4_C8JE3ACXX.IND11
B100001297	BEZ_ALDAOSW_5_C8JE3ACXX.IND4
A200000327	BEZ_ADHAOSW_1_C8D3YACXX.IND5
A200000369	BEZ_ADIAOSW_2_C8D3YACXX.IND11
A100000165	BEZ_ADKAOSW_3_C8D3YACXX.IND12
A100000220	BEZ_ADLAOSW_4_C8D3YACXX.IND1
S200002603	BEZ_ADQAOSW_5_C8D3YACXX.IND5
E500000176	BEZ_ADVAOSW_8_C8D3YACXX.IND9
B100001977	BEZ_AKEAOSW_2_C8NBGACXX.IND6
B100000116	BEZ_AEMAOSW_7_C8F2AACXX.IND7
B100000261	BEZ_AEXAOSW_6_C8F2AACXX.IND3
B100000236	BEZ_AFBAOSW_6_C8F2AACXX.IND6
B100000178	BEZ_AFCAOSW_7_C8F2AACXX.IND5
B100000493	BEZ_AFSAOSW_6_C8F2AACXX.IND2
B100000834	BEZ_AGNAOSW_6_C8F2AACXX.IND9
B100000765	BEZ_AGPAOSW_7_C8F2AACXX.IND10
B100000811	BEZ_AGRAOSW_7_C8F2AACXX.IND11
B100000562	BEZ_AGTAOSW_8_C8F2AACXX.IND7
B100001089	BEZ_AIVAOSW_8_C8F2AACXX.IND3
B100001263	BEZ_AKDAOSW_8_C8F2AACXX.IND1
B100002010	BEZ_AKHAOSW_8_C8F2AACXX.IND5
B100000885	BEZ_AHPAOSW_1_C8FB9ACXX.IND3
B100000916	BEZ_AHRAOSW_1_C8FB9ACXX.IND4
B100000920	BEZ_AHTAOSW_1_C8FB9ACXX.IND6
B100001107	BEZ_AHXAOSW_2_C8FB9ACXX.IND7
B100001111	BEZ_AIAAOSW_3_C8FB9ACXX.IND8
B100000939	BEZ_AICAOSW_1_C8FB9ACXX.IND10
B100000943	BEZ_AIDAOSW_2_C8FB9ACXX.IND11
B100000593	BEZ_AIFAOSW_2_C8FB9ACXX.IND1
B100001230	BEZ_AIHAOSW_3_C8FB9ACXX.IND2
B100000622	BEZ_AILAOSW_2_C8FB9ACXX.IND3
B100000624	BEZ_AIMAOSW_3_C8FB9ACXX.IND4
B100000637	BEZ_AINAOSW_4_C8FB9ACXX.IND5
B100000639	BEZ_AIPAOSW_4_C8FB9ACXX.IND6
B100000651	BEZ_AIQAOSW_4_C8FB9ACXX.IND7
B100000658	BEZ_AIRAOSW_5_C8FB9ACXX.IND8
B100000660	BEZ_AISAOSW_3_C8FB9ACXX.IND9
B100001242	BEZ_AITAOSW_4_C8FB9ACXX.IND10
B100001090	BEZ_AIXAOSW_5_C8FB9ACXX.IND11
B100001937	BEZ_AKKAOSW_5_C8FB9ACXX.IND1
B100002054	BEZ_AKLAOSW_5_C8FB9ACXX.IND2
B100002056	BEZ_AKMAOSW_6_C8FB9ACXX.IND3
B100002046	BEZ_AKNAOSW_7_C8FB9ACXX.IND4
B100001215	BEZ_AKPAOSW_8_C8FB9ACXX.IND5
B100001217	BEZ_AKQAOSW_6_C8FB9ACXX.IND6
B100001196	BEZ_AKSAOSW_8_C8FB9ACXX.IND8
B100001139	BEZ_AKVAOSW_7_C8FB9ACXX.IND10
B100001557	BEZ_ALCAOSW_6_C8FB9ACXX.IND1
B100001171	BEZ_ALEAOSW_7_C8FB9ACXX.IND2
B100001802	BEZ_ALFAOSW_7_C8FB9ACXX.IND3
B100002031	BEZ_ALGAOSW_8_C8FB9ACXX.IND2
B100001788	BEZ_ALHAOSW_8_C8FB9ACXX.IND4
B100000116	BEZ_AEMAOSW_7_C8FCMACXX.IND7
B100000118	BEZ_AENAOSW_4_C8FJUACXX.IND8
B100000261	BEZ_AEXAOSW_6_C8FCMACXX.IND3
B100000236	BEZ_AFBAOSW_6_C8FCMACXX.IND6
B100000178	BEZ_AFCAOSW_7_C8FCMACXX.IND5
B100000194	BEZ_AFDAOSW_4_C8FJUACXX.IND7
B100000353	BEZ_AFFAOSW_4_C8FJUACXX.IND9
B100000355	BEZ_AFGAOSW_3_C8FJUACXX.IND10
B100000493	BEZ_AFSAOSW_6_C8FCMACXX.IND2
B100000457	BEZ_AGAAOSW_3_C8FJUACXX.IND9
B100000444	BEZ_AGBAOSW_5_C8FJUACXX.IND10
B100000436	BEZ_AGCAOSW_3_C8FJUACXX.IND11
B100000420	BEZ_AGDAOSW_5_C8FJUACXX.IND12
B100000422	BEZ_AGEAOSW_5_C8FJUACXX.IND1
B100000515	BEZ_AGGAOSW_6_C8FJUACXX.IND3
