old_name	PANGAEA_ID
TARA_150_DCM_0.22-3_G	TARA_B100001778
TARA_150_DCM_0.22-3_T	TARA_B100001776
TARA_150_SRF_0.22-3_G	TARA_B100001769
TARA_150_SRF_0.22-3_T	TARA_B100001769,TARA_B100001770
TARA_151_DCM_0.22-3_G	TARA_B100001559
TARA_151_DCM_0.22-3_T	TARA_B100001557
TARA_151_SRF_0.22-3_G	TARA_B100001564
TARA_151_SRF_0.22-3_T	TARA_B100001564,TARA_B100001565
TARA_152_MES_0.22-3_G	TARA_B100001179
TARA_152_MIX_0.22-3_G	TARA_B100001175
TARA_152_MXL_0.22-3_T	TARA_B100001171,TARA_B100001802,TARA_B100002031
TARA_152_SRF_0.22-3_G	TARA_B100001173
TARA_152_SRF_0.22-3_T	TARA_B100001297
TARA_153_MXL_0.22-3_T	TARA_B100001788,TARA_B100002033
TARA_155_DCM_0.22-3_G	TARA_B110000008
TARA_155_DCM_0.22-3_T	TARA_B110001437
TARA_155_DCM_lt-0.22_G	TARA_R110002012
TARA_155_MES_0.22-3_G	TARA_B110000014
TARA_155_MES_lt-0.22_G	TARA_R110002020
TARA_155_SRF_0.22-3_G	TARA_B110000003
TARA_155_SRF_0.22-3_T	TARA_B110001435
TARA_155_SRF_lt-0.22_G	TARA_R110002003
TARA_158_DCM_0.22-3_G	TARA_B110001452
TARA_158_DCM_0.22-3_T	TARA_B110001446
TARA_158_DCM_lt-0.22_G	TARA_R110002050
TARA_158_MES_0.22-3_G	TARA_B110001454
TARA_158_MES_lt-0.22_G	TARA_R110002051
TARA_158_SRF_0.22-3_G	TARA_B110001450
TARA_158_SRF_0.22-3_T	TARA_B110001444
TARA_158_SRF_lt-0.22_G	TARA_R110002049
TARA_163_MES_0.22-3_G	TARA_B110000196
TARA_163_MES_0.22-3_T	TARA_B110000200
TARA_163_MES_lt-0.22_G	TARA_R110002060
TARA_163_SRF_0.22-3_G	TARA_B110001469
TARA_163_SRF_0.22-3_T	TARA_B110001467
TARA_163_SRF_lt-0.22_G	TARA_R110002033
TARA_168_DCM_0.22-3_G	TARA_B110000046
TARA_168_DCM_0.22-3_T	TARA_B110000044
TARA_168_DCM_lt-0.22_G	TARA_R110002073
TARA_168_IZZ_0.22-3_G	TARA_B110000037
TARA_168_IZZ_0.22-3_T	TARA_B110000035
TARA_168_IZZ_lt-0.22_G	TARA_R110002074
TARA_168_SRF_0.22-3_G	TARA_B110000027
TARA_168_SRF_0.22-3_T	TARA_B110000023
TARA_168_SRF_lt-0.22_G	TARA_R110002072
TARA_173_DCM_0.22-3_G	TARA_B110000093
TARA_173_DCM_0.22-3_T	TARA_B110000085
TARA_173_DCM_lt-0.22_G	TARA_R110002096
TARA_173_IZZ_0.22-3_G	TARA_B110000091
TARA_173_SRF_0.22-3_G	TARA_B110000090
TARA_173_SRF_0.22-3_T	TARA_B110000083
TARA_173_SRF_lt-0.22_G	TARA_R110002095
TARA_175_IZZ_0.22-3_T	TARA_B110000122
TARA_175_IZZ_lt-0.22_G	TARA_R110002094
TARA_175_SRF_0.22-3_G	TARA_B110000114
TARA_175_SRF_0.22-3_T	TARA_B110000110
TARA_175_SRF_lt-0.22_G	TARA_R110002110
TARA_175_ZZZ_0.22-3_G	TARA_B110000116
TARA_175_ZZZ_0.22-3_T	TARA_B110000112
TARA_175_ZZZ_lt-0.22_G	TARA_R110002111
TARA_178_SRF_0.22-3_G	TARA_B110000208
TARA_178_SRF_0.22-3_T	TARA_B110000204
TARA_178_SRF_lt-0.22_G	TARA_R110002124
TARA_180_SRF_0.22-3_G	TARA_B110000503
TARA_180_SRF_0.22-3_T	TARA_B110000501
TARA_180_SRF_lt-0.22_G	TARA_R110000868
TARA_180_ZZZ_0.22-3_G	TARA_B110000211
TARA_180_ZZZ_0.22-3_T	TARA_B110000206
TARA_180_ZZZ_lt-0.22_G	TARA_R110002126
TARA_188_DCM_0.22-3_G	TARA_B110000240
TARA_188_DCM_0.22-3_T	TARA_B110000235
TARA_188_DCM_lt-0.22_G	TARA_R110000851
TARA_188_SRF_0.22-3_G	TARA_B110000238
TARA_188_SRF_0.22-3_T	TARA_B110000233
TARA_188_SRF_lt-0.22_G	TARA_R110000850
