old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_110_DCM_0.22-3_T	BEZ_AIAAOSW_8_C8N3AACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIAAOSW_8_C8N3AACXX.IND8	TARA_B100001111
TARA_110_MES_0.22-3_T	BEZ_AIBAOSW_6_C8NA5ACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIBAOSW_6_C8NA5ACXX.IND9	TARA_B100001076
TARA_110_MES_0.22-3_T	BEZ_AIBAOSW_8_C8FJUACXX.IND9_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIBAOSW_8_C8FJUACXX.IND9	TARA_B100001076
TARA_112_SRF_0.22-3_T	BEZ_AICAOSW_1_C8FB9ACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AICAOSW_1_C8FB9ACXX.IND10	TARA_B100000939
TARA_112_SRF_0.22-3_T	BEZ_AICAOSW_7_C8NA5ACXX.IND10_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AICAOSW_7_C8NA5ACXX.IND10	TARA_B100000939
TARA_112_DCM_0.22-3_T	BEZ_AIDAOSW_2_C8FB9ACXX.IND11_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIDAOSW_2_C8FB9ACXX.IND11	TARA_B100000943
TARA_112_DCM_0.22-3_T	BEZ_AIDAOSW_8_C8NA5ACXX.IND11_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIDAOSW_8_C8NA5ACXX.IND11	TARA_B100000943
TARA_113_SRF_0.22-3_T	BEZ_AIFAOSW_2_C8FB9ACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIFAOSW_2_C8FB9ACXX.IND1	TARA_B100000593
TARA_113_SRF_0.22-3_T	BEZ_AIFAOSW_5_C8P5JACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIFAOSW_5_C8P5JACXX.IND1	TARA_B100000593
TARA_113_SRF_0.22-3_T	BEZ_AIFAOSW_6_C8P5JACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIFAOSW_6_C8P5JACXX.IND1	TARA_B100000593
TARA_113_SRF_0.22-3_T	BEZ_AIFAOSW_7_C8P5JACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIFAOSW_7_C8P5JACXX.IND1	TARA_B100000593
TARA_113_SRF_0.22-3_T	BEZ_AIFAOSW_8_C8P5JACXX.IND1_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIFAOSW_8_C8P5JACXX.IND1	TARA_B100000593
TARA_127_SRF_0.22-3_T	BEZ_AIGAOSW_1_C8JE3ACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIGAOSW_1_C8JE3ACXX.IND2	TARA_B100001228
TARA_127_SRF_0.22-3_T	BEZ_AIGAOSW_4_C8C37ACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIGAOSW_4_C8C37ACXX.IND2	TARA_B100001228
TARA_127_DCM_0.22-3_T	BEZ_AIHAOSW_3_C8FB9ACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIHAOSW_3_C8FB9ACXX.IND2	TARA_B100001230
TARA_127_DCM_0.22-3_T	BEZ_AIHAOSW_5_C8P5JACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIHAOSW_5_C8P5JACXX.IND2	TARA_B100001230
TARA_127_DCM_0.22-3_T	BEZ_AIHAOSW_6_C8P5JACXX.IND2_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIHAOSW_6_C8P5JACXX.IND2	TARA_B100001230
