PANGAEA sample id	Raw bases	Raw reads	HQ bases	HQ reads	Avg read length	Scaftigs	Total length	Max length	N50	Predicted genes
TARA_B110000879	38926837618	388341000	34311489660	366398924	94	274335	355921803	133452	1526	520400
TARA_R110000764	46179277006	464271950	38532001300	420516367	92	180712	251529644	564662	1717	385514
TARA_B110000495	38816152426	387847764	33544536787	363194462	92	375662	381806322	78497	1031	629068
TARA_R110002167	47632266660	479959684	38959818651	429087149	91	297408	441171275	923200	1904	655604
TARA_B110000483	35262866274	351923732	31233870291	333342581	94	297372	367326454	184367	1421	548420
TARA_R110002153	62220707951	624794278	51722476578	564275062	92	220260	329375805	562007	1995	498671
TARA_B110000858	34815862577	347699812	29547694608	318899103	93	258085	299316666	91787	1264	480804
TARA_R110001632	58105295100	584667900	47375855480	518132191	91	185531	278514937	528579	1968	420022
TARA_B110000467	32267596263	321829274	28648908676	306158190	94	300615	304820868	160907	1025	502521
TARA_R110001599	56109182546	568573080	44094422793	489591811	90	279513	457838010	982509	2381	663344
TARA_B110000459	29644408725	295539040	25796566310	282368061	91	285844	335166743	87938	1290	506199
TARA_R110001606	66240911320	670113458	52594952216	582119142	90	291902	436847555	385994	1968	654408
TARA_B110000438	32380763312	323196296	28741162891	307302490	94	374085	401018958	88941	1117	654671
TARA_R110001583	68831341860	698076386	52493930987	589032876	89	161150	297542978	515251	3046	411454
TARA_B110000444	32124880638	320960112	27537038267	297683763	93	346981	377865610	130423	1142	606804
TARA_R110001592	67743975417	683827250	53601843498	592248972	91	314542	529881956	618926	2485	753908
TARA_S200002703	11186255513	115146482	8655416152	96555843	90	119803	138204109	152795	1250	248426
TARA_X000001382	8672266222	85864022	5350210297	62512991	86	88517	96204368	42374	1143	181438
TARA_E500000081	16183360872	149845934	13257729231	135522562	98	201652	214580555	65021	1122	359899
TARA_E500000075	16397111232	151825104	12471851528	134566031	93	195903	197302184	60528	1027	329928
TARA_E500000305	10130406202	105112790	7867248575	87407740	90	122016	145982942	560737	1290	244564
