sample	PANGAEA_ID	metaG_metaT	total_inserts	mapped_inserts	fraction_mapped_inserts	total_bases	mapped_bases	fraction_mapped_bases	db_average_entry_length
TARA_146_MES_0.22-3_G	TARA_B100001167	metaG	147197633	75665264.0000289	0.514038591911521	25911112372	10981197253.0177	0.42380261778665	631.414925731725
TARA_146_SRF_0.22-3_G	TARA_B100001540	metaG	161309373	114023472.997526	0.706862043270892	29052969048	18102895845.0411	0.623099684412023	631.414925731725
TARA_148b_MES_0.22-3_G	TARA_B100001750	metaG	158676357	86407173.9994958	0.544549771832081	27353825225	12645546554.5446	0.462295362733662	631.414925731725
TARA_148_SRF_0.22-3_G	TARA_B100001741	metaG	161186856	107961002.997626	0.669787882689556	27798441870	16594773799.2961	0.596967768082178	631.414925731725
TARA_149_MES_0.22-3_G	TARA_B100001765	metaG	176466394	95763125.998774	0.542670611826374	29472197900	13231206234.7185	0.448938565071133	631.414925731725
TARA_149_SRF_0.22-3_G	TARA_B100001758	metaG	166452099	107450269.99776	0.645532682635383	28900738535	16686499337.5663	0.57737276565989	631.414925731725
TARA_150_DCM_0.22-3_G	TARA_B100001778	metaG	169492625	122683615.996555	0.723828638541384	29279208423	18313739440.9645	0.625486153053862	631.414925731725
TARA_150_SRF_0.22-3_G	TARA_B100001769	metaG	177736615	122468152.996397	0.689042902028918	30606559808	18630483159.5261	0.608708828316484	631.414925731725
TARA_151_DCM_0.22-3_G	TARA_B100001559	metaG	169277504	111412004.997495	0.6581619079018	28622994115	16647151079.3739	0.581600618456958	631.414925731725
TARA_151_SRF_0.22-3_G	TARA_B100001564	metaG	181402317	133718599.995943	0.737138324401572	31276790761	20209313773.1071	0.646144098591685	631.414925731725
TARA_152_MES_0.22-3_G	TARA_B100001179	metaG	165483134	93389858.9991565	0.564346690455817	28992663100	13521589177.9247	0.466379688243428	631.414925731725
TARA_152_MIX_0.22-3_G	TARA_B100001175	metaG	184057332	119147139.997414	0.647337102536147	32135502471	18089352683.8002	0.562908661537953	631.414925731725
TARA_152_SRF_0.22-3_G	TARA_B100001173	metaG	157947638	108500844.998022	0.68694186486044	27519850462	16360729000.6716	0.594506464461456	631.414925731725
TARA_155_DCM_0.22-3_G	TARA_B110000008	metaG	172472326	128238503.99794	0.743530901287547	31040566535	20009248870.2547	0.64461609770212	631.414925731725
TARA_155_MES_0.22-3_G	TARA_B110000014	metaG	178523920	107093611.998416	0.599883825083025	32114182734	15950029013.5789	0.496666197165661	631.414925731725
TARA_155_SRF_0.22-3_G	TARA_B110000003	metaG	191049870	149290619.999438	0.781422253778232	33438377902	22750811894.0434	0.680380249326707	631.414925731725
TARA_158_DCM_0.22-3_G	TARA_B110001452	metaG	144063983	98905307.9989494	0.686537369988927	23676705777	14191270687.5842	0.599376907465307	631.414925731725
TARA_158_MES_0.22-3_G	TARA_B110001454	metaG	142477784	82407563.999837	0.578388866574715	25978609621	12642229683.0634	0.48663996524448	631.414925731725
TARA_158_SRF_0.22-3_G	TARA_B110001450	metaG	194179445	143754791.998837	0.7403193061904	34220794082	21937702709.6317	0.641063519948266	631.414925731725
TARA_163_MES_0.22-3_G	TARA_B110000196	metaG	210822669	126039799.99794	0.597847473404008	37092728307	19095085769.5097	0.514793239566206	631.414925731725
