Representative 1	Representative 2	Co-expression Pearson r	Representative 2 type	Representative 2 annotation
OM-RGC.v2.028586313	0ZK9Z	0.976798481898541	OG	NA
OM-RGC.v2.012352739	OM-RGC.v2.012760112	0.976700892713615	GC	NA
OM-RGC.v2.012760112	OM-RGC.v2.012352739	0.976700892713615	GC	NA
OM-RGC.v2.030339336	OM-RGC.v2.007647989	0.976700547564093	GC	NA
OM-RGC.v2.027867111	OM-RGC.v2.000330119	0.976538555294756	GC	NA
OM-RGC.v2.001478208	OM-RGC.v2.002919873	0.976494842451387	GC	NA
OM-RGC.v2.002919873	OM-RGC.v2.001478208	0.976494842451387	GC	NA
OM-RGC.v2.007100645	OM-RGC.v2.000742747	0.976178792001301	GC	NA
OM-RGC.v2.001649676	OM-RGC.v2.016737557	0.976158263576728	GC	NA
OM-RGC.v2.009567699	OM-RGC.v2.013280400	0.976119617668116	GC	NA
OM-RGC.v2.013280400	OM-RGC.v2.009567699	0.976119617668116	GC	NA
OM-RGC.v2.018181132	OM-RGC.v2.021453737	0.975988047148104	GC	NA
OM-RGC.v2.018090879	OM-RGC.v2.028065438	0.975931763325151	GC	NA
OM-RGC.v2.028065438	OM-RGC.v2.018090879	0.975931763325151	GC	NA
OM-RGC.v2.020476429	OM-RGC.v2.025341370	0.975677093785167	GC	NA
OM-RGC.v2.042293437	OM-RGC.v2.043968426	0.975600518741667	GC	NA
OM-RGC.v2.043968426	OM-RGC.v2.042293437	0.975600518741667	GC	NA
OM-RGC.v2.001205736	OM-RGC.v2.022730164	0.975589614402528	GC	NA
OM-RGC.v2.022730164	OM-RGC.v2.001205736	0.975589614402528	GC	NA
OM-RGC.v2.010445319	OM-RGC.v2.019911009	0.975391899235534	GC	NA
OM-RGC.v2.030127582	OM-RGC.v2.006889331	0.975254808784239	GC	NA
OM-RGC.v2.000707410	OM-RGC.v2.007681748	0.975176541289495	GC	NA
OM-RGC.v2.003060245	OM-RGC.v2.000390642	0.975117561309155	GC	NA
OM-RGC.v2.000060028	OM-RGC.v2.000261629	0.97486670659683	GC	NA
OM-RGC.v2.000261629	OM-RGC.v2.000060028	0.97486670659683	GC	NA
OM-RGC.v2.035704885	OM-RGC.v2.030620349	0.974828413764392	GC	NA
OM-RGC.v2.030620349	OM-RGC.v2.035704885	0.974828413764392	GC	NA
OM-RGC.v2.011229747	OM-RGC.v2.013865421	0.974674621539666	GC	NA
OM-RGC.v2.010320418	OM-RGC.v2.027468288	0.974495880990266	GC	NA
OM-RGC.v2.038891289	OM-RGC.v2.017091229	0.974410853780061	GC	NA
OM-RGC.v2.010518240	OM-RGC.v2.018090879	0.974347790319499	GC	NA
OM-RGC.v2.028298649	OM-RGC.v2.002988779	0.974310776680617	GC	NA
OM-RGC.v2.007648366	OM-RGC.v2.001649676	0.974229166676764	GC	NA
OM-RGC.v2.035723857	OM-RGC.v2.016531405	0.974221338757902	GC	NA
OM-RGC.v2.016531405	OM-RGC.v2.035723857	0.974221338757902	GC	NA
OM-RGC.v2.006056649	OM-RGC.v2.033609510	0.973870178510704	GC	NA
OM-RGC.v2.033609510	OM-RGC.v2.006056649	0.973870178510704	GC	NA
OM-RGC.v2.035686031	OM-RGC.v2.012972574	0.973817177009246	GC	NA
OM-RGC.v2.030869654	OM-RGC.v2.013865421	0.973526716220563	GC	NA
OM-RGC.v2.045343412	OM-RGC.v2.043968426	0.973457793906193	GC	NA
OM-RGC.v2.000093615	OM-RGC.v2.000909399	0.973366603928171	GC	NA
OM-RGC.v2.033427988	OM-RGC.v2.003271231	0.973348258786759	GC	NA
OM-RGC.v2.019080121	OM-RGC.v2.035002680	0.973299470427877	GC	NA
OM-RGC.v2.000377852	OM-RGC.v2.000473898	0.973202141363853	GC	NA
OM-RGC.v2.000473898	OM-RGC.v2.000377852	0.973202141363853	GC	NA
OM-RGC.v2.003777388	OM-RGC.v2.010052832	0.973177282594229	GC	NA
OM-RGC.v2.009012343	OM-RGC.v2.012694719	0.973021144794606	GC	NA
OM-RGC.v2.012694719	OM-RGC.v2.009012343	0.973021144794606	GC	NA
OM-RGC.v2.010575146	OM-RGC.v2.016674399	0.973012452596654	GC	NA
OM-RGC.v2.016674399	OM-RGC.v2.010575146	0.973012452596654	GC	NA
